         27760 function calls (27248 primitive calls) in 427.688 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 context.py:301(ForkServerContext)
        2    0.000    0.000    0.000    0.000 context.py:40(cpu_count)
        7    0.000    0.000    0.000    0.000 enum.py:130(__prepare__)
        7    0.002    0.000    0.004    0.001 enum.py:140(__new__)
        7    0.000    0.000    0.000    0.000 enum.py:157(<dictcomp>)
       96    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        7    0.000    0.000    0.000    0.000 enum.py:182(<setcomp>)
       21    0.000    0.000    0.000    0.000 enum.py:203(<genexpr>)
      110    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       26    0.000    0.000    0.005    0.000 enum.py:289(__call__)
      110    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        7    0.000    0.000    0.000    0.000 enum.py:340(__getattr__)
        7    0.000    0.000    0.000    0.000 enum.py:365(__members__)
      145    0.000    0.000    0.001    0.000 enum.py:381(__setattr__)
        7    0.000    0.000    0.005    0.001 enum.py:394(_create_)
       21    0.000    0.000    0.000    0.000 enum.py:447(_get_mixins_)
       21    0.000    0.000    0.000    0.000 enum.py:458(_find_data_type)
        7    0.000    0.000    0.000    0.000 enum.py:479(_find_new_)
       19    0.000    0.000    0.000    0.000 enum.py:531(__new__)
       34    0.000    0.000    0.000    0.000 enum.py:633(value)
        7    0.000    0.000    0.007    0.001 enum.py:638(_convert)
        7    0.000    0.000    0.000    0.000 enum.py:64(__init__)
        7    0.000    0.000    0.002    0.000 enum.py:659(<listcomp>)
       96    0.000    0.000    0.000    0.000 enum.py:664(<lambda>)
      110    0.000    0.000    0.001    0.000 enum.py:71(__setitem__)
        9    0.000    0.000    0.000    0.000 enum.py:841(__and__)
        5    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
        5    0.000    0.000    0.000    0.000 functools.py:67(wraps)
       12    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        3    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        6    0.000    0.000    0.000    0.000 gettext.py:211(_expand_lang)
        3    0.000    0.000    0.001    0.000 gettext.py:474(find)
        3    0.000    0.000    0.001    0.000 gettext.py:514(translation)
        3    0.000    0.000    0.001    0.000 gettext.py:585(dgettext)
        3    0.000    0.000    0.001    0.000 gettext.py:624(gettext)
       14    0.000    0.000    0.003    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.006    0.006 hashlib.py:54(<module>)
        8    0.000    0.000    0.003    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.006    0.006 linecache.py:6(<module>)
        3    0.000    0.000    0.000    0.000 locale.py:350(_replace_encoding)
        6    0.000    0.000    0.000    0.000 locale.py:384(normalize)
        1    0.000    0.000    0.000    0.000 os.py:42(_get_exports_list)
        1    0.000    0.000    0.000    0.000 os.py:46(<listcomp>)
        3    0.000    0.000    0.000    0.000 os.py:619(get_exec_path)
       49    0.000    0.000    0.000    0.000 os.py:676(__getitem__)
       49    0.000    0.000    0.000    0.000 os.py:754(encode)
        6    0.000    0.000    0.000    0.000 os.py:758(decode)
       27    0.000    0.000    0.000    0.000 os.py:806(fsencode)
        1    0.000    0.000    0.000    0.000 param.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:1024(_Unpickler)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.000    0.000 pickle.py:184(_Framer)
        1    0.000    0.000    0.008    0.008 pickle.py:24(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:247(_Unframer)
        1    0.000    0.000    0.000    0.000 pickle.py:372(_Pickler)
        1    0.000    0.000    0.000    0.000 pickle.py:64(PickleError)
        1    0.000    0.000    0.000    0.000 pickle.py:68(PicklingError)
        1    0.000    0.000    0.000    0.000 pickle.py:75(UnpicklingError)
        1    0.000    0.000    0.000    0.000 pickle.py:88(_Stop)
        1    0.000    0.000    0.000    0.000 posixpath.py:144(basename)
        7    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
        4    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
        4    0.000    0.000    0.000    0.000 posixpath.py:376(abspath)
       46    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        4    0.000    0.000    0.000    0.000 posixpath.py:64(isabs)
       34    0.000    0.000    0.000    0.000 posixpath.py:75(join)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.000    0.000 process.py:325(AuthenticationString)
        1    0.000    0.000    0.000    0.000 process.py:339(_MainProcess)
        1    0.000    0.000    0.000    0.000 process.py:341(__init__)
        1    0.000    0.000    0.000    0.000 process.py:63(BaseProcess)
        1    0.000    0.000    0.000    0.000 random.py:174(randrange)
        9    0.000    0.000    0.000    0.000 random.py:224(_randbelow)
        1    0.000    0.000    0.000    0.000 random.py:286(sample)
        1    0.000    0.000    0.012    0.012 random.py:38(<module>)
        1    0.000    0.000    0.000    0.000 random.py:669(SystemRandom)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 random.py:88(__init__)
        1    0.000    0.000    0.000    0.000 random.py:97(seed)
      113    0.000    0.000    0.001    0.000 re.py:172(match)
       68    0.000    0.000    0.003    0.000 re.py:234(compile)
      181    0.000    0.000    0.004    0.000 re.py:273(_compile)
        1    0.000    0.000    0.022    0.022 reduction.py:10(<module>)
        1    0.000    0.000    0.000    0.000 reduction.py:207(_C)
        1    0.000    0.000    0.000    0.000 reduction.py:247(AbstractReducer)
        1    0.000    0.000    0.000    0.000 reduction.py:33(ForkingPickler)
        5    0.000    0.000    0.000    0.000 reduction.py:43(register)
        1    0.000    0.000    0.000    0.000 selectors.py:206(_BaseSelectorImpl)
        1    0.000    0.000    0.000    0.000 selectors.py:290(SelectSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:341(_PollLikeSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:433(PollSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:442(EpollSelector)
        1    0.000    0.000    0.004    0.004 selectors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:60(_SelectorMapping)
        1    0.000    0.000    0.000    0.000 selectors.py:80(BaseSelector)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
       60    0.000    0.000    0.003    0.000 shlex.py:101(get_token)
       60    0.002    0.000    0.003    0.000 shlex.py:133(read_token)
        1    0.000    0.000    0.000    0.000 shlex.py:19(shlex)
        3    0.000    0.000    0.000    0.000 shlex.py:21(__init__)
        3    0.000    0.000    0.000    0.000 shlex.py:295(__iter__)
       60    0.000    0.000    0.003    0.000 shlex.py:298(__next__)
        3    0.000    0.000    0.003    0.001 shlex.py:304(split)
     1014    0.000    0.000    0.000    0.000 shlex.py:68(punctuation_chars)
        1    0.000    0.000    0.003    0.003 signal.py:1(<module>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       74    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
       75    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        1    0.000    0.000    0.000    0.000 signal.py:25(_int_to_enum)
        2    0.000    0.000    0.000    0.000 signal.py:35(_enum_to_int)
        1    0.000    0.000    0.000    0.000 signal.py:45(signal)
        1    0.000    0.000    0.000    0.000 socket.py:130(_GiveupOnSendfile)
        1    0.000    0.000    0.000    0.000 socket.py:133(socket)
        1    0.000    0.000    0.007    0.007 socket.py:47(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:546(SocketIO)
      308    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      309    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      310    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      311    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
       15    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       15    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
        6    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        6    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       11    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        2    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       13    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      8/7    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        5    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        9    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
       18    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        9    0.000    0.000    0.001    0.000 sre_compile.py:598(_code)
        4    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
     27/9    0.000    0.000    0.001    0.000 sre_compile.py:71(_compile)
        9    0.000    0.000    0.003    0.000 sre_compile.py:759(compile)
       28    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       60    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:162(__delitem__)
      146    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
       12    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       44    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
    30/12    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        9    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      115    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
       72    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
       93    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       37    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        9    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        8    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
        9    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
     13/9    0.000    0.000    0.001    0.000 sre_parse.py:411(_parse_sub)
    15/10    0.001    0.000    0.001    0.000 sre_parse.py:469(_parse)
        9    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       24    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        3    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        9    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
        9    0.000    0.000    0.002    0.000 sre_parse.py:913(parse)
        3    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.001    0.001 struct.py:3(<module>)
        9    0.000    0.000  422.557   46.951 subprocess.py:1014(wait)
